archive_time,date,open,close,high,low,volume,turnover,amount,symbol,ret_5,ret_20,ret_60,ret_120,daily_return,vol_20,sma_20_ratio,sma_60_ratio,volume_ratio_20,obv,obv_slope_20,amount_log,rsi_14,macd,signal,atr_14,vwap_ratio,bollinger_upper,bollinger_lower,body_pct,close_position,upper_shadow_pct,lower_shadow_pct,money_flow_20,future_return,model_raw,model_score,technical_score,volume_price_score,candle_score,sentiment_score,sentiment_source,news_count,composite_score,odds_sample_count,odds_win_rate,odds_avg_gain,odds_avg_loss,odds_reward_risk,odds_expected_return
2026-08-18 21:04:26,2026-08-18,894.59,903.71,935.39,886.19,128617100.0,0.1508,9648166700.0,300285,0.0193444324129219,0.2366037219485497,0.4468388274283152,1.1809252600333036,0.009912386571901,0.8399230747116193,0.1259170478549942,0.0517321908497867,0.8735280233626134,4499755044.0,0.5461551147995667,22.99003375507799,0.0172391354067075,15.899433229271152,-1.0413436832075127,31.550714285714303,0.083007435665197,962.997924131025,641.6110758689749,0.1853658536585369,0.3560975609756099,0.6439024390243901,0.1707317073170729,46157426.16508591,,0.2234918722702663,97.67441860465117,72.84883720930233,73.54651162790698,24.069767441860463,95.0,关键词新闻评分,8,79.01453488372093,1948,0.5251540041067762,0.1193063618065687,0.0787417165860357,1.515160793785982,0.0252640247874931
2026-08-18 21:04:26,2026-08-18,300.74,288.16,306.48,287.65,185540600.0,0.1717,7179520699.999999,002407,0.0050924311126614,0.2277278343487709,-0.023418171959196,0.2248576043526313,-0.0413520077181541,0.6767265352509143,0.0852564283629448,0.000508656712272,0.9856317308431932,11360204933.0,0.1868407863554148,22.69449846304297,0.0114768597881984,4.185228898066612,-1.966395364480814,8.877142857142852,0.1342835456240209,315.6838867036623,214.39811329633764,0.668082846521506,0.0270844397238474,0.3048327137546466,0.0270844397238474,54126140.67801959,,0.1556293114908754,95.34883720930232,61.16279069767442,79.01162790697674,25.0,100.0,关键词新闻评分,7,76.96511627906976,1951,0.478216299333675,0.1365592312176524,0.0819226156224947,1.6669295795794303,0.0225589646449872
2026-08-18 21:04:26,2026-08-18,122.3,124.92,128.25,119.59,300854700.0,0.2345,4246383200.0,600172,0.1607507898160192,0.246831021059986,0.1847496206373293,0.6252927400468384,0.0499243570347958,0.8192255381903781,0.2424472989303139,0.0473905369846858,1.9803794429358972,9942049475.0,0.1103788976299272,22.16933344603744,0.0244671589916454,-0.210238554198284,-4.260904808375338,4.213571428571428,0.1129875019583988,122.5846154258302,77.73038457416979,0.3025404157043886,0.6154734411085451,0.3845265588914549,0.3129330254041564,50976096.982522175,,0.0529106811547599,67.44186046511628,75.52325581395348,84.82558139534885,53.197674418604656,100.0,关键词新闻评分,7,74.7703488372093,1939,0.484270242392986,0.1664738621110516,0.1062996717399486,1.566080679141823,0.0257964336164666
2026-08-18 21:04:26,2026-08-18,85.15,85.74,88.23,84.05,24911477.0,0.1224,954673400.0,688598,0.1900069396252601,0.3357220750895777,0.1111975116640746,0.3633328033073619,-0.0033709171219342,0.722721886706701,0.2905362182502351,0.03205874092204,1.499057074688347,298841661.0,0.7594114063272119,20.67687985147193,0.0279824946491129,0.3476683292247173,-3.5540832998819702,2.5700000000000003,0.4469633004313543,85.32168807950747,47.15031192049254,0.1411483253588488,0.4043062200956925,0.5956937799043074,0.2631578947368437,7826739.922944589,,0.0666798686097392,75.5813953488372,81.45348837209302,84.59302325581395,32.09302325581395,64.72727272727272,关键词新闻评分,9,73.41749471458773,1379,0.4532269760696156,0.1826779018725454,0.1311069442765866,1.3933503132157776,0.0111088126800541
2026-08-18 21:04:26,2026-08-18,508.69,535.01,541.41,505.15,15202861.0,0.0828999999999999,5676901000.0,688017,0.0431281561348437,0.1650407212229432,0.0914116687066504,0.6342171177225242,0.0512447684357377,0.9181911718153468,0.1659382412967607,0.0581085196909985,1.3787473882471744,356070549.0,0.0859566897094973,22.459671322371005,0.0227874139182499,4.705947935454731,-6.254516453501418,21.720714285714276,0.6979496539001193,543.9646506039737,372.3463493960264,0.7258687258687259,0.8234969663541098,0.1765030336458902,0.0976282404853839,3903832.772530074,,0.1505457531987003,94.18604651162792,61.62790697674419,66.33720930232558,59.70930232558139,50.0,无新闻/中性,4,72.61046511627907,1307,0.5187452180566182,0.1967998247405153,0.1224199979659084,1.607579055795444,0.0431737585719303
2026-08-18 21:04:26,2026-08-18,288.0,291.44,295.0,279.36,54769200.0,0.0503,15715979200.0,300394,0.3099015686098252,0.2616450216450217,0.0302237618862455,0.1647350331708097,0.0170295924064767,1.1207177728425182,0.3274938906767057,0.0903934580383343,1.0543667099399048,3251270763.0,0.1750843756606125,23.4779438152134,0.0361568703447213,7.7679830851852785,-4.860202694635959,12.122142857142858,0.9845910638017878,291.0406152625469,146.69188473745305,0.2199488491048593,0.7723785166240406,0.2276214833759594,0.5524296675191812,25092364.658184923,,0.0619426070940739,74.4186046511628,64.01162790697674,80.0,65.98837209302326,74.0,关键词新闻评分,4,72.0482558139535,1947,0.5618900873138162,0.2377298867263253,0.1249397814180261,1.902755743832492,0.0788407100816762
2026-08-18 21:04:26,2026-08-18,68.78,68.13,70.37,67.18,67540500.0,0.1158,1030962500.0,002579,0.037302070645554,0.2616666666666665,0.1031411917098445,0.2398544131028206,-0.0156046814044212,0.7315197921395497,0.1471724799838354,-0.060647284292188,0.8415003363982956,5487970191.0,0.0955760329423982,20.75375866983578,0.0198445173022384,0.2313593617847829,-1.8496033488485708,2.486428571428569,0.2240475547127106,73.97995535322278,44.59754464677725,0.2037617554858953,0.2978056426332255,0.4984326018808792,0.2978056426332255,29611763.77778244,,0.0675066571352472,76.74418604651163,73.43023255813954,67.90697674418605,33.13953488372093,94.47058823529412,关键词新闻评分,9,71.56043091655268,1912,0.5104602510460251,0.1119014748279474,0.0858490033606224,1.3034685371697028,0.0150947553799864
2026-08-18 21:04:26,2026-08-18,149.32,145.4,152.56,143.92,154777600.0,0.0892,1661599500.0,600110,0.0345809022342393,0.1301982122036533,0.0486837360259646,0.4138467522364839,-0.0227181072724828,0.7312034532181418,0.1164990766230127,-0.1124802129070849,1.191022347097596,9960134355.0,0.0198336852779518,21.23104653021318,0.0149621529376961,-3.064837067682845,-7.438260737689278,4.381428571428573,0.0738335649392598,154.46546481633692,106.07153518366306,0.4537037037037015,0.1712962962962981,0.3750000000000004,0.1712962962962981,22844663.313608192,,0.1292691966680436,91.86046511627907,59.94186046511628,62.15116279069767,24.94186046511628,92.6315789473684,关键词新闻评分,9,71.32420440636474,1940,0.4618556701030928,0.1531426496329272,0.0961416187139092,1.5928861161432832,0.0189917340895781
2026-08-18 21:04:26,2026-08-18,187.04,193.77,193.97,182.36,8295500.0,0.033,377115800.0,300863,0.1272907091744721,0.214858934169279,-0.1814034050103502,0.1432532892796034,0.0373126338329763,0.5710976539208742,0.2158537235794806,-0.1188334179671216,1.096995972634278,442881293.0,0.1382823444105546,19.748062862703176,0.0244309904957414,-3.5268662657535685,-11.495720027830751,4.66857142857143,0.2346095148736371,195.1340962363825,122.23540376361746,0.5796726959517681,0.9827734711455652,0.0172265288544348,0.4031007751937971,2019169.047929524,,0.0734624921307989,81.3953488372093,63.48837209302326,67.32558139534883,82.26744186046511,50.0,无新闻/中性,2,71.05232558139535,1311,0.5179252479023646,0.1157659056226875,0.0866652126171638,1.3357828605818292,0.018178974480364
2026-08-18 21:04:26,2026-08-18,119.11,115.5,119.72,113.56,6911629.0,0.0571,798862600.0,688031,0.013157894736842,0.2816245006657789,-0.0831150273874732,-0.3936371272574548,-0.0441906653426018,0.866411182035439,0.1359277726964269,0.0368772190743513,0.9627437317902716,240512782.0,0.061134896035043,20.498699525238465,0.0261017943421,3.9748641514548666,1.4756865245381665,4.500714285714285,1.000713335070402,130.870949556769,72.46655044323096,0.5860389610389612,0.3149350649350647,0.0990259740259739,0.3149350649350647,3905777.5086076935,,0.1078673867884016,89.53488372093024,60.581395348837205,66.22093023255813,54.88372093023256,50.0,无新闻/中性,9,70.21511627906978,792,0.4431818181818182,0.2537001973219993,0.1534894947781304,1.652883135023174,0.0269695733116997
